"#Name","System","Analog","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14"
"PA0",,"ADC12_IN0","RTC_TAMP2/SYS_WKUP1","TIM2_CH1",,,,,,"USART2_CTS",,,,,,,"TIMX_IC1"
"PA1",,"ADC12_IN1",,"TIM2_CH2",,,,,,"USART2_RTS",,,,"LCD_SEG0",,,"TIMX_IC2"
"PA10",,,,,,,,,,"USART1_RX",,,,"LCD_COM2",,,"TIMX_IC3"
"PA11",,,,,,,,"SPI1_MISO",,"USART1_CTS",,,"USB_DM",,,,"TIMX_IC4"
"PA12",,,,,,,,"SPI1_MOSI",,"USART1_RTS",,,"USB_DP",,,,"TIMX_IC1"
"PA13",,,"SYS_JTMS_SWDIO",,,,,,,,,,,,,,"TIMX_IC2"
"PA14",,,"SYS_JTCK_SWCLK",,,,,,,,,,,,,,"TIMX_IC3"
"PA15",,,"SYS_JTDI","TIM2_CH1",,,,"SPI1_NSS","I2S3_WS/SPI3_NSS",,,,,"LCD_SEG17",,,"TIMX_IC4"
"PA2",,"ADC12_IN2",,"TIM2_CH3",,"TIM9_CH1",,,,"USART2_TX",,,,"LCD_SEG1",,,"TIMX_IC3"
"PA3",,"ADC12_IN3",,"TIM2_CH4",,"TIM9_CH2",,,,"USART2_RX",,,,"LCD_SEG2",,,"TIMX_IC4"
"PA4",,"ADC12_IN4/DAC1_OUT",,,,,,"SPI1_NSS","I2S3_WS/SPI3_NSS","USART2_CK",,,,,,,"TIMX_IC1"
"PA5",,"ADC12_IN5/DAC2_OUT",,"TIM2_CH1",,,,"SPI1_SCK",,,,,,,,,"TIMX_IC2"
"PA6",,"ADC12_IN6",,,"TIM3_CH1","TIM10_CH1",,"SPI1_MISO",,,,,,"LCD_SEG3",,,"TIMX_IC3"
"PA7",,"ADC12_IN7",,,"TIM3_CH2","TIM11_CH1",,"SPI1_MOSI",,,,,,"LCD_SEG4",,,"TIMX_IC4"
