"#Name","System","Analog","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14"
"PA0",,"ADC1_IN5",,"TIM2_CH1",,,,,,"USART2_CTS",,,,,"COMP1_OUT","SAI1_EXTCLK","TIM2_ETR"
"PA1",,"ADC1_IN6",,"TIM2_CH2",,,"I2C1_SMBA","SPI1_SCK",,"USART2_RTS_DE",,,,,,,"TIM15_CH1N"
"PA10",,,,"TIM1_CH3",,,"I2C1_SDA",,,"USART1_RX",,,"USB_CRS_SYNC",,,"SAI1_SD_A",
"PA11",,,,"TIM1_CH4","TIM1_BKIN2",,,"SPI1_MISO","COMP1_OUT","USART1_CTS",,"CAN1_RX","USB_DM",,"TIM1_BKIN2_COMP1",,
"PA12",,,,"TIM1_ETR",,,,"SPI1_MOSI",,"USART1_RTS_DE",,"CAN1_TX","USB_DP",,,,
"PA13",,,,"IR_OUT",,,,,,,,,"USB_NOE",,"SWPMI1_TX","SAI1_SD_B",
"PA14",,,,"LPTIM1_OUT",,,"I2C1_SMBA",,,,,,,,"SWPMI1_RX","SAI1_FS_B",
"PA15",,,,"TIM2_CH1","TIM2_ETR","USART2_RX",,"SPI1_NSS","SPI3_NSS","USART3_RTS_DE",,"TSC_G3_IO1",,,"SWPMI1_SUSPEND",,
"PA2",,"ADC1_IN7",,"TIM2_CH3",,,,,,"USART2_TX","LPUART1_TX",,"QUADSPI_BK1_NCS",,"COMP2_OUT",,"TIM15_CH1"
"PA3",,"ADC1_IN8",,"TIM2_CH4",,,,,,"USART2_RX","LPUART1_RX",,"QUADSPI_CLK",,,"SAI1_MCLK_A","TIM15_CH2"
"PA4",,"ADC1_IN9","DAC1_OUT1",,,,,"SPI1_NSS","SPI3_NSS","USART2_CK",,,,,,"SAI1_FS_B","LPTIM2_OUT"
"PA5",,"ADC1_IN10","DAC1_OUT2","TIM2_CH1","TIM2_ETR",,,"SPI1_SCK",,,,,,,,,"LPTIM2_ETR"
"PA6",,"ADC1_IN11",,"TIM1_BKIN",,,,"SPI1_MISO","COMP1_OUT","USART3_CTS","LPUART1_CTS",,"QUADSPI_BK1_IO3",,"TIM1_BKIN_COMP2",,"TIM16_CH1"
"PA7",,"ADC1_IN12",,"TIM1_CH1N",,,"I2C3_SCL","SPI1_MOSI",,,,,"QUADSPI_BK1_IO2",,"COMP2_OUT",,
"PA8",,,,"TIM1_CH1",,,,,,"USART1_CK",,,,,"SWPMI1_IO","SAI1_SCK_A","LPTIM2_OUT"
"PA9",,,,"TIM1_CH2",,,"I2C1_SCL",,,"USART1_TX",,,,,,"SAI1_FS_A","TIM15_BKIN"
"PB0",,"ADC1_IN15",,"TIM1_CH2N",,,,"SPI1_NSS",,"USART3_CK",,,"QUADSPI_BK1_IO1",,"COMP1_OUT","SAI1_EXTCLK",
"PB1",,"ADC1_IN16",,"TIM1_CH3N",,,,,,"USART3_RTS_DE","LPUART1_RTS_DE",,"QUADSPI_BK1_IO0",,,,"LPTIM2_IN1"
"PB3",,,,"TIM2_CH2",,,,"SPI1_SCK","SPI3_SCK","USART1_RTS_DE",,,,,,"SAI1_SCK_B",
"PB4",,,,,,,"I2C3_SDA","SPI1_MISO","SPI3_MISO","USART1_CTS",,"TSC_G2_IO1",,,,"SAI1_MCLK_B",
"PB5",,,,"LPTIM1_IN1",,,"I2C1_SMBA","SPI1_MOSI","SPI3_MOSI","USART1_CK",,"TSC_G2_IO2",,,"COMP2_OUT","SAI1_SD_B","TIM16_BKIN"
"PB6",,,,"LPTIM1_ETR",,,"I2C1_SCL",,,"USART1_TX",,"TSC_G2_IO3",,,,"SAI1_FS_B","TIM16_CH1N"
"PB7",,,,"LPTIM1_IN2",,,"I2C1_SDA",,,"USART1_RX",,"TSC_G2_IO4",,,,,
"PC14","OSC32_IN",,,,,,,,,,,,,,,,
"PC15","OSC32_OUT",,,,,,,,,,,,,,,,
"PH3","BOOT0",,,,,,,,,,,,,,,,
